"time" "drug"
4.04956156619247 "B"
3.99833213243577 "B"
4.05366155139762 "B"
3.83157775568964 "B"
4.16643676662844 "A"
3.97538419278356 "A"
3.92937759116494 "B"
4.08395139502886 "B"
3.99585745279428 "A"
3.99582776896076 "A"
4.10711058643647 "A"
3.89915888147342 "A"
3.88139874413872 "A"
3.98465926370827 "A"
3.92372000461054 "A"
3.83053178923309 "A"
3.99796828727205 "B"
4.05231519733171 "B"
4.01773016593897 "B"
3.87392534864452 "A"
4.14670836833537 "B"
3.98218068717832 "A"
4.1515039088055 "B"
4.07171053133169 "B"
3.93335990763217 "B"
4.2891425826181 "B"
4.15099760135127 "B"
4.24794467773542 "B"
4.09478549990269 "B"
4.14075953394881 "B"
3.70233278702856 "A"
3.9753687865293 "A"
3.72433955857617 "A"
4.14043773235263 "A"
4.12535448729704 "A"
4.007607854026 "B"
3.94119534668465 "B"
4.12287412273571 "B"
4.25024178301537 "B"
4.04952427600787 "B"
4.05662080161525 "B"
3.9446880383611 "A"
3.95887234180504 "A"
4.04910607106971 "A"
4.20284789537663 "B"
