brewery_id,beer_id,username,rating,text,brewery_name,Country,Style,Score
140,2671,Beer_aenima7,3.6,It has that distinct sierra Nevada skunkiness. A little more dark amber than their infamous IPAs. Currently cellaring mine to see what the age brings,Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,Qu3st,3.71,"2015 and stored with zero skill, will it survive? L: Dark brown with respectable tan foam. S: Light sour notes dominate, soy sauce on the end. T: Brown bread crust, hint of anise, treacle, cigar leaves. No burn left. F: A little slippery but still good to go. O: I think I caught this at the top of it's age, though possibly a year late. Bigfoot approaching abbey ale territory.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,Griffin2,4.27,"Poured from a 12 oz bottle into a snifter glass. I’m drinking the 2023 version. L - Pours a dark amber color with a slight khaki head that dissipates quickly. S - Smells of malt and booze. T - Tastes of raisins, molasses, malty, hoppy and boozy. Definitely a lot going on. F - Medium to full bodied with carbonation on the lighter side. O - Very interesting barleywine.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,DFred,4.08,"Strong and complex balancing sweet malt opening with hop bitterness on the back end. Dark amber coppery reddish color with a nice khaki tan head that persists and sticks to the glass. The aroma is balanced along with the taste—combination of bready, sweet, and bitter notes and a bite from the alcohol.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,Rube-Riley,4.3,"2023 Sierra Nevada Bigfoot Barleywine - Nice tan head , amber body,great bready sweet aroma + sweet Carmel with a bitter finish taste 9.6% hidden well Going to start pulling my older vintages to compare",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,LeRose,4.32,"Initially poured pretty clear, but it certainly has some cloudiness to it. Kind of a deep amber coppery reddish color with a short khaki head. Said head becomes a chunky cap that persists and sticks handsomely to the glass.  The smell is not the malt assault I expected. It's there for sure - but it's more of an overall intensity that impresses. Grapefruit, pine-like resin, floral, fruit, caramel, and hefty whiff of unhidden alcohol. Yeah...I'm gonna dig this!  I can't explain it, but to me this beer is intensely flavored and mellow at the same time. It's an onslaught initially - fruity, bready, sweet, bitter, grapefruit in spades, caramel or toffee, a bite from the alcohol. The pine resin ramps up at the end, and there's a bitterness that almost resets the pallet, but not quite as the other flavors linger. It's a flavor blast, but it peaks quickly and all the disparate flavors build into the whole - starts all wild and jagged but melds together nicely and tames itself.  Feel is full-bodied, low carbonation. A bit of lingering pine and bitterness. A bit sticky on the lips, tingly finish.  Overall - I fully get the hype and love for this beer. There is just so much going on and it is incredibly intense.This beer strikes me as an exercise in excess, and if they keep making it I will buy it as an annual treat.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,Braunmeister_1943,4.16,I have not had Bigfoot in quite a while. I’m seeing less of SN products at my local distributors which I find frustrating. This batch I found at Wegmans supermarket of all places! At $13.99/6 pack I couldn’t pass it up!  L- beautiful deep amber/reddish color.  S- very faint malt aroma.  T- Strong malt and hop flavors. Very slight hint of raisins and fig.  F- Crisp and dry with extremely fine carbonation.  O- Very good. This will age nicely!,Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,DCH,4.48,"The legend that is this beer lives up to all of the hype. Arguably the best in the style, it pours a dark amber color with a two finger head of foam. Smell is a resinous hop note combined with a toasted barely and slight grapefruit. Taste is similar to an IPA with just a more robust malt note, drying aftertaste. The high abv is hidden until that aftertaste displays it’s prominence.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,DumbRunner26,4.69,I look forward to it’s release every year. Dark brown in color with a foamy head. Looks good but the appearance doesn’t stand out compared to some other attractive beers. The aroma is where this beer thrives. How can a big malt bomb smell like a flower garden. Taste like fresh baked sweet bread. Mouth feel is thick and full. The flavor coats the mouth and says enjoy me some more. Truely an outstanding beer that deserves it’s cult following.,Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,Drazdi,4.23,"Pours dark, with light tan foamy head (1/3""). Carmel, resin and pitch pine. Warm, smooth but slighlt acrid on tip of tongue. Aroma or raisin and fig, with subtle fall/winter holiday notes. Meant to sip or share. I have difficulty drinking a full bottle as it is wholly satisfying at 8-9oz so perhaps share 2 bottle with 2-3 friends. I enjoy this beer more if I have 1-2 drinks first, something sweet, roasted barley malt.  Sierra Nevada hit a homer with this one back in 1983 and I hope to find it years to come.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,LucidoMMA,4.34,"Pours an amber color with a very retentive head  Smells very yeasty and malty.  Taste is a brilliant mix of bittersweet malts, hops, and grains. Leaves significant lacing and a nice bitter clean finish",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,VashonGuy,4.11,"I've had Bigfoot many times over the years. I hadn't realized I never reviewed it. This time, I'm drinking the 2020 version, roughly 3 years after its release. I usually buy a six pack and let it age for a couple of years, as I've found that I like Bigfoot with at least a couple of years of age on it. I think it's mellower, with the flavors better blended.  The strengths of Bigfoot are the smell and taste. It's really a strong ale, with plenty of bitterness, laid over a malty base. Emphasis on the bitterness, which to me is a good thing.  I'm a big fan of English barleywines, which have all the subtlety that Bigfoot lacks. The English barleywines have little in common with Bigfoot, except maybe the fairly high ABV. Two completely different experiences. I'll drink several English barleywines every year, but I'll always have one six pack of Bigfoot, with a couple of years age on it. Good stuff.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,RaulMondesi,3.23,"Pretty bummed on this one. It’s like buying a ticket to see Babe Ruth play, but he was too hungover or in jail or something and not in the starting line up. Right from the start, I detected syrup in the aroma; and then what do you know? Leggo my Eggo - syrup on my palate too.  Well, you win some. You lose some. And right here I’m becoming ambivalent as it warms. Wait…  Yeah, not much. Still a big dollop of syrup in the aroma, but it has died down a bit in taste. Still nothing to call your mama about.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,MHL81,4.27,"A large beer, like its secretive primate namesake. Much malt, hops and ethanol. Looking forward to vertical tastings with this.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,Rambo111,4.16,"This beer is not meant as a session ale. I buy it once a year as a treat, and this year in 2022 it is exceptional! I get a clean head, with well balanced pine and tropical fruit for the body. The finish is bread flavors and a warming effect; this beer is complex in flavor and feel. I’d recommend this one for connoisseurs.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,TooManyGlasses,4.49,"2016 bottle from the cellar - not going to lie - not sure I drank any of the 2016 fresh.... Pours a clear garnet, dark ruby colour with tawny beige head. A bit of sediment left in bottle. Aroma of caramel malt, bread, date but despite age a strong hop burst is there - piney, resin, candied grapefruit peel. Malty sweetness on the palate - burnt toffee, caramel, date and bread - quickly overcome by a barrage of hop flavours - resinous pine, candied citrus peel, grapefruit with a sticky bitterness coating the palate. Full sticky mouthfeel, decent carbonation despite aged state with a lingering powerful bittersweetness. Marvellous.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,RacerX5k,1.52,"Yes, Bigfoot is an legend, an icon. And, every year, I have one, or two, singles, and yes, last year I depleted the stock at multiple locals, and for 6 months, it was that good. Got my bitterness on, along with Old Rasputin, how I survived (last year) ,... this year? This is not THAT review ...  This year? This beer fucking stinks, on rye, like one reviewer noted, recently, Yes, I finished my one sixer, and just to be sure, wasted the $2.50 on one more single last night ... way too harsh, and plastic, fake, tasting. No balance and this will only got worse over time And while, the other legend Celebration Ale, was very good, it does NOT belong in cans. loses aroma.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,RyanK252,4.28,"2022 bottle poured into a Sierra Nevada Brewing Co tulip glass  A: Pours gorgeous ruby copper amber with a frothy khaki head that settles to a firm layer that hangs around for a bit and leaves plenty of nice lacing.  S: Rich toasty bready malt, toffee, dark and stone fruit, all countered with a strong hit of resinous pine and citrus rind.  T: Hops hit first, citrus, grapefruit and orange, resinous pine, followed by a mix of fruity notes, plum, fig, apricot, peach, cherry, and raisin, toasty bready malt, and toffee sweetness.  M: Medium to full body, moderate carbonation, just a hint of alcohol.  O: Didn't realize I hadn't logged this one until recently, even though I've had plenty of it before, so I figured I might a well grab a fresh bottle and enter in a baseline, then revisit with a vintage bottle.  Fresh, it drinks kinda like a mix of TIPA and hoppy American Strong Ale, in a good way. English Barleywines get the majority of the attention, but there's a reason this American style one has stayed around so long. (4.28)",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,md3kcn,4.57,"Purchased as a single bottle from The Blue Door for $4. 2022 vintage. Poured into a cognac snifter.  L - A fantastic clear ruby, with a two-finger khaki head that doesn't die out. Lacing is excellent. S - Super floral. Getting rosehip, grapefruit peel, pine tar, and red apple. A hint of ethanol on the nose. T - Toffee, stone fruit, and pine resin. Juicy grapefruit, followed by a heavy black bread note. Finish is intense and pine-heavy. You really pick up the ABV on the latter half of the glass... F - Full-bodied, with minimal carbonation. Filling. Warm. Heavy. O - The king of Sierra Nevada's brews. Like the weathered father of an immature imperial IPA. Dense, intense, and titillating every sense, this one is for the fans. Highly recommend, and I'll be getting another bottle to age.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,Manta200,3.9,At the Cincinnati Beer Fest 2022,Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,gooddaydiablo,4.13,"look: ruby, clear  s: bread  t: bitter af, malty af, pine and grapefruit,  feel: dry, thick, monster  overall: ipa on steroid, strong but tastes just average",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,Captain69,4.34,"another great bigfoot this year (2022) strong malty , drink slow to get all the flavors",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,tzbel013,4.48,My 2nd foray into a gnarly wine style beer after Lagunitas Brown Shugga. Definitely catch the malts sweetness on the nose but it's the intense malt/hop hit on the 1st sip that is impressive. The booziness definitely becomes apparent as you sip this brew along with the hops as it warms. Overall I love this style and looking forward to cellaring a few of these for a few years.,Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,MrOH,4.64,"2022 Pours a clear garnet with a generous khaki head, excellent retention and lacing Grapefruit, floral, and piney hops over a deep caramel malt aroma with hints of dried fruit Bold pine and grapefruit rind hops, big caramel malt. Long, bitter finish Heavy bodied but not too sticky, appropriate carbonation. An American classic for a reason",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,Wattie83,4.22,"2021 version. Poured 12 oz bottle into a tulip glass. Pours a deep caramel color with an off white head that falls to a cap. Very active carbonation rising up. Aroma is caramel and earthy hops mixed with a combination of dark fruit and citrus fruit. Taste is caramel, malty sweetness, resinous/earthy hops, and alcohol. Feel is thick and chewy with a nice carbonation bite. In the end there's a bit of dryness that sneaks in. There's a definite alcohol warmth with this. Overall, I don't have a lot of experience with barleywines, but I do like this and would buy again.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,nizzle8287,5,"I first started drinking Bigfoot exactly 10 years ago, and every year, I buy several 6 packs and drink them periodically throughout the year. Today, I'm drinking the 2022 release on 2/5/22. It is outstanding, as usual. There was a ton of hop residue in the bottom of the bottle already, and I like my Bigfoot on the hoppy side, so I swished the last little bit around in the bottom of the bottle before I finished the pour. Pours a beautiful (and slightly hazy) dark cherry to copper hue with a beige head that falls down to an island with a ring around the rim of the glass. Smell is actually slightly mute this time around, but I can detect a slight caramel sweetness that blends well with a general, but faint, hop presence. The taste is definitely hop-forward, as I did swish the residue out of the bottle into my glass, but for me, that makes it perfectly balanced with its absolutely booming malt character. I believe that several hop varieties are used in the brewing of this beer, and the bitter aftertaste is absolutely there, but the malt flavor is so huge that it's hard to pinpoint any one flavor that stands out; it is amazingly well blended. Bitter-sweet medium-thick mouthfeel that finishes quite dry... the alcohol presence is very well hidden... Overall one of the best Bigfoot releases I've had yet!  Update 2/14/23 - The 2023 release is the best ever. Probably in the top 3 best winter beers I've ever had.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,MartyMaltose,4.22,"Long-time Bigfoot enthusiast. Generally you can expect a somewhat-sweet, quite malty version of an IPA, like an IPA that has had 40% of the water evaporated out of it. Generally, delicious!  2022's is harsher, as KT3418 has mentioned (although ""barleywine style"" is just a legal term for all barleywines...not an indication that it's not a real barleywine). The usual heat is just not balanced this year by enough syrupy sweetness. Disappointing but it's still one of the more awesome brews on the shelves.",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
140,2671,Spade,4.44,"Minimal head on a deep copper body. The aroma doesn't prepare for the taste, which is intense. A wonderfully bitter hop bite on a robust malt base, with a full mouthfeel. This will be great for cellaring!",Sierra Nevada Brewing Co.,"California, United States",American Barleywine,92
